Key,english
woodLogPillar100Desc,Wood logs are good for crude walls or palisades or as fuel for campfires.\n\nPlace them as a block and chop them with an axe for wood planks.

challengeGathererWood,Gather Wood Logs
challengeGathererWoodShort,Gather some Wood Logs.
challengeGathererWoodDesc,[DECEA3]Wood Logs[-] can be gathered with an [DECEA3]Axe[-] by cutting down [DECEA3]Trees[-].\n\nGather some [DECEA3]Wood Logs[-] with an [DECEA3]Axe[DECEA3].
challengePlantLavender,Plant Lavender
challengePlantLavenderDesc,"To make a [DECEA3]lavender seed[-], [DECEA3]Gather[-] some [DECEA3]lavender flowers[-] in the [DECEA3]Forest biome[-], click [DECEA3]Recipes[-], then select [DECEA3]Craft[-].\n\nWhen the seed is crafted, equip it on your [DECEA3]toolbelt[-], and place it in a [DECEA3]Farm Plot[-], or on some [DECEA3]fertilized terrain[-]."
challengePlantLavenderShort,Plant a Lavender seed.

challengeCraftDewCollector,Craft Dew Collector
challengeCraftDewCollectorDesc,"Water determines how fast your health and stamina bars recover. With empty hands, you can drink from any water source by pressing ""E"". Drinking water that has not been boiled has the risk of contracting dysentery. At a campfire, you can boil jars of water with a cooking pot. Your water level can be found in the character stats menu. An advanced method of collecting water is by crafting a Dew Collector. Water will affect regen speed when it is below 50% and 25%. All drink items will provide a small bonus to stamina regen while the 'drink' buff is visible."
challengeCraftDewCollectorHint1,[FFB400]Craft a [-][00FF00]Dew Collector[-][FFB400].[-]
challengeCraftDewCollectorShort,Craft a Dew Collector to start producing water.
challengePlacePassiveCollector,Place Chicken Coop
challengePlacePassiveCollectorDesc,"A [DECEA3]Chicken Coop[-] is a [DECEA3]Workstation[-] that allows you to passively obtain [DECEA3]Eggs[-] over time. Catch a [DECEA3]Chicken[-] and place it in the coop. Can be upgraded with a [DECEA3]Heatlamp[-] and a [DECEA3]Nesting[-] to provide more [DECEA3]Eggs[-] more efficiently."
challengePlacePassiveCollectorShort,Place a Chicken Coop to collect eggs.

quest_WhiteRiverCitizen1_description,"This mod will challenge you in ways that the vanilla game doesn't,\nwhile keeping the familiar vanilla look & feel.\n\n[00FF00]Important Points![-]\nZombies only take MAXIMUM damage with [FFC800]headshots[-],[FFC800] fire[-], & [FFC800]explosives[-]!\nZombies[FF4500] DO NOT [-]bleed!\n\nLoot is reduced, and traders have no quests.\n\nHave fun!!"
quest_WhiteRiverCitizen1,"Welcome to [FFC800]28 ALPHAS LATER[-]!"
quest_WhiteRiverCitizen1_description_title,28 Alphas Later

questStartup_offer,"28 Alphas Later"
questStartup_desc,"The idea behind this mod is to slow progression, make traders less powerful, and generally extend the time for a playthrough, while keeping the vanilla look and feel.\n\n[ffd700]GENERAL GAMEPLAY[-]\n\nPlayer starts with a new debuff - Despair.\n\nAs your despair increases, your abilities will be negatively affected. If despair reaches 100%, you'll be seconds from death.\nConversely, if you can manage your despair well, you'll receive buffs for remaining positive.\n\nThe despair indicator on the HUD will fill as your despair grows and will change colour to indicate the level of your despair.\n\nIf you're able to manage your despair and have a more positive outlook, the icon on the HUD will change, as will the fill colour to indicate your levels of positivity.\n\nDespair can also be checked from the player information screen.\n\nHeadshots! Zombies take maximum damage from headshots, however, they do take small damage if you miss the head.\n\nZombies DON'T bleed. Nothing undead takes bleed damage.\n\nThere are more zombies in the world. Biomes are gamestaged, which means zombies get tougher and their numbers increase as you level up.\n\nNights are dangerous, downtown is much more dangerous.\n\nTraders no longer offer quests, but they can be traded with.\n\nAll blades base damage rebalanced to adjust for damage over time lost from enemies not bleeding.\n "
28AlphasLaterQuest1_title,"Despair"
28AlphasLaterQuest1,"Despair is dynamically affected by various different factors, including:\n\n1. Darkness. Too dark, and your Despair will increase dramatically. Torches, helmet lights and flashlights will mitigate this. Use these in conjunction with a campfire & bedroll for the best effect.\n\n2. Temperature. If you’re freezing or sweltering, your Despair will also increase dramatically. Find shelter!\n\n3. Environment: Varying degrees of wetness will change how Despair affects you, as will your shelter. If you’re warm, dry, sheltered, well lit or resting on a bed or bedroll, AND near an operating campfire, forge or chem station you can effectively treat Despair.\n\n4. Hunger and thirst affect how quickly your despair increases. Starvation/dehydration will drastically increase the rate at which you become affected by despair.\n\n5. Injuries will affect how quickly your despair increases, so treat them as quickly as you can!\n\n6. There is medication in trader stock and rare medical loot to treat your despair; St. John's Wort treats 10% and Lithium treats 25%.\n\n7. There is also lavender growing wild, which can be collected to make your own lavender seeds, and is also used to make Lavender Oil in a cooking pot at a campfire. Treats 3% Despair."
28AlphasLaterQuest2_title,"Despair (cont.)"
28AlphasLaterQuest2,"8. All food has a positive effect. The better the food, the more effective the treatment.\n\n9. Killing zombies and animals will reduce your overall despair. Conversely, getting hit by enemies will increase it.\n\n10. Being in close proximity to zombies increases your Despair. The tougher the zombie, the worse the effect. The effect is compounded, so the more zombies there are, the worse it'll be.\n\n11. Player wellness. Your maximum health will also slow down the effects of despair. Every 10 additional health slows down the rate at which Despair affects you.\n\n12. The morale booster from the drone will slow down the rate at which despair affects you.\n\n13. The trader has an effect. Being close to a trader will slow down and/or reduce your Despair.\n\n14. The perk From the Shadows also has an effect on the way Despair affects you at NIGHT. The more points in the perk, the less Despair affects you at night.\n "
28AlphasLaterQuest3_title,Enemies
28AlphasLaterQuest3,"Bears and wolves are back in the forest.\n\nHazmat zombies are now immune to burning.\n\nNew Bunker Buster zombie. Only appears during bloodmoon(s), and can appear from the very first Bloodmoon. You’ll want to take it out quickly … think of it as a light demolition zombie.\n\nDemolition zombies appear at a much earlier gamestage.\n\nFrozen zombie variant. Slightly tougher, slightly slower, slightly more XP, and take slightly more damage than their Normal counterparts. Found in the snow biome.\n\nRotting zombie variant. They have lower HP, lower XP reward, and they take more damage. Found in the forest biome.\n\nCowboy zombie variant. Similar to normal zombies, these enemies are exclusive to the desert biome, identifiable by their cowboy hats.\n\nAll fatties (Big Mama, tourist etc.) explode when their health gets low, and are filled with a substance that’s irresistible to all zombies. If you are within range when they explode, they’ll cover you in this stuff - and attract other zombies. Cop and vulture vomit also has this effect.\n"
28AlphasLaterQuest4_title,Progression
28AlphasLaterQuest4,"All tool and weapon skills are now governed by action skills. 50% of your skills come from the action skill, the other 50% from perk points."
28AlphasLaterQuest5_title,Blocks & Workstations
28AlphasLaterQuest5,"Wrench tablesaws for a sawblade - a required component for the sawmill.\n\nThe workbench now has slots for a wrench, hammer, ratchet, impact driver, and nail gun. Some items require these tools to craft, and some have been moved from inventory crafting to workbench crafting.\n\nThe cement mixer now requires gasoline to work.\n\nThe ammo press is required to craft ammunition in a workbench.\n\nThe sawmill. Unlocked at the same level as the forge, use this workbench to craft wood logs into wood planks. Wrench a tablesaw for a sawblade, or purchase a sawblade from a trader.\n\nYou can combine duplicate items in the workbench to either repair or upgrade them, depending on their quality and durabilty. Items can never be combined to quality 6."
28AlphasLaterQuest6_title,Buffs & Debuffs
28AlphasLaterQuest6,"Snakes and Spider zombies will envenom you when they attack. Kill snakes to extract their venom, which can be used to make antivenom. Antivenom crafting can appear in loot and trader stock.\n\nThe Wasteland biome is very, VERY dangerous.\n\nDespair medication (Lavender, St. John’s Wort and Lithium) can be found in medical loot, and in trader stock. Lavender oil can be crafted from lavender flowers and used to treat despair."
28AlphasLaterQuest7_title,Food & Farming
28AlphasLaterQuest7,"All canned food found in loot, vending machines, and trader stock is uncooked. Cook it to make it safe to eat, or eat it and run the risk of food poisoning.\n\nUncooked cans don't replenish health, just food and water.\n\nWellness. Wellness is attached to your max health & stamina, and better foods or drinks will increase your wellness more. To keep increasing wellness, wait for a while between eating or drinking.\n\nFarming the terrain. You need a hoe to till the ground to plant seeds. Use the hoe with fertiliser in your inventory to upgrade the tilled ground. Fertilized terrain yields the same as a farmplot.\n\nFarm Plots require fertiliser and nails to craft, and are the same fertile level as fertilised ground.\n\nFertiliser is craftable in the cement mixer and chem station, and can be purchased from traders.\n\nAll plants can be picked up - press 'E' by default to pick them up.\n\nNew plant - lavender. Purple flower found growing in the Forest biome and in some POIs. Seeds are crafted from lavender flowers, no unlock required. Lavender flowers can be found in loot and trader stock, and Lavender seeds in trader stock."
28AlphasLaterQuest8_title,Resources
28AlphasLaterQuest8,"Trees no longer give wood, they give wood logs, scraps, and branches. Logs can be placed and then chopped with an axe for wood, or use the table saw to do it quicker and better.\n\nPrimitive weapons and ammo are now made from wood scraps, branches, plant fibres, and/or stone.\n\nAll loose ammo can also be boxed, once the correct perk book has been read.\n"
28AlphasLaterQuest9_title,Vehicles
28AlphasLaterQuest9,"Two new vehicles, the Ruin Runner, and The Hornet.\n\nThe Ruin Runner is a dirt bike, with similar speed to the motorcycle, but the inventory capacity of the minibike.\n\nThe Hornet is an off-road dune buggy. As fast as a 4x4, but with the inventory capacity of a motorcycle.\n\nVehicles CANNOT be picked up once placed, so be careful where you put them!"
28AlphasLaterQuest10_title,"Weather"
28AlphasLaterQuest10,"Weather effects are back. Temperature and wetness are effects that you'll need to manage effectively. Use insulated liners for when you're cold, and cooling mesh for when you're hot.\n\nNOTE: If you have biome progression enabled, you won't see any 'legacy' weather effects.\nDisable biome progression in your main menu settings to play with legacy weather."

statSmell,Smell count
buffSmellTooltip,Nearby zombies are attracted to the smell of the food you're carrying.
buffSmellName,"Alerted"
buffSmellDesc,"The food you are carrying is attracting unwanted attention.\n\nAll nearby zombies are attracted to, and enraged by, the smell of the food - so put it away or eat it!"
buffSmellJournalTip,"Carrying varying amounts of certain foods will attract and enrage nearby zombies.\n\nThe longer you have the food in your inventory, the more zombies will be attracted to it, and enraged by it.\n\nThe better the food, the less you can carry, so try to keep food in storage."
buffSmellJournalTip_title,Smell

statWellness,"Wellness Added"

tameRabbit,Rabbit
tameRabbitDesc,Used in recipes at a campfire or wood burning stove.
tameChicken,Chicken
tameChickenDesc,"A chicken. Will produce up to 20 eggs when place in a chicken coop.\n\nCan also be used in recipes at a campfire or wood burning stove."
chickenCoop,Chicken coop
chickenCoopDesc,Produces eggs. Needs a chicken.\n\nChickens need replacing periodically.\nChickens can be used in other recipes.
beehive,Beehive
beehiveDesc,"Produces honey, requires a bee."
honeyBeeDesc,A wild honey bee. Will produce up to 10 honey when placed in a bee hive.
honeyBee,Bee

toolHeatLamp,Heat Lamp
toolHeatLampDesc,Speeds up production of eggs.
toolNest,Nesting
toolNestDesc,Doubles the number of eggs produced.
toolbeeSmoker,Bee Smoker
toolbeeSmokerDesc,Speeds up production of honey.
toolBeeFrame,Honeycomb Frame
toolBeeFrameDesc,Doubles the amount of honey produced.

vehicleDuneBuggy,The Hornet
vehicleDuneBuggyChassis,The Hornet Chassis
vehicleDuneBuggyAccessories,The Hornet Accessories
vehicleDirtBike,The Ruin Runner
vehicleDirtBikeChassis,The Ruin Runner Chassis
vehicleDirtBikeHandlebars,The Ruin Runner Handlebars
vehiclesT2,"Tier 2: Minibike, Dirt Bike, Oil, & Gas"
vehiclesT3,"Tier 3: Motorcycle, Dune Buggy & Stacks of Gas Cans"
vehicleDirtBikePlaceable,The Ruin Runner
vehicleDuneBuggyPlaceable,The Hornet

zombieArlene,Putrid Girl
zombieArleneCowboy,Putrid Cowgirl
zombieArleneFeral,Feral Putrid Girl
zombieArleneFrozen,Frozen Putrid Girl
zombieArleneMutated,Mutated Putrid Girl
zombieArleneRadiated,Radiated Putrid Girl
zombieArleneRotten,Rotting Putrid Girl
zombieArleneWeak,Weak Putrid Girl
zombieBikerFrozen,Frozen Biker
zombieBikerMutated,Mutated Biker
zombieBikerRotten,Rotting Biker
zombieBikerWeak,Weakened Biker
zombieBoe,Infected Survivor
zombieBoeCowboy,Infected Cowboy
zombieBoeFeral,Feral Infected Survivor
zombieBoeFrozen,Frozen Infected Survivor
zombieBoeMutated,Mutated Infected Survivor
zombieBoeRotten,Rotting Infected Survivor
zombieBoeWeak,Weakened Infected Survivor
zombieBoeRadiated,Radiated Infected Survivor
zombieBowlerRotten,Rotting Bowler
zombieBowlerWeak,Weakened Bowler
zombieBurnt,Burn Victim
zombieBurntMutated,Mutated Burn Victim
zombieBurntRotten,Rotting Burn Victim
zombieBurntRadiated,Radiated Burn Victim
zombieBurntFeral,Feral Burn Victim
zombieBurntWeak,Weakened Burn Victim
zombieBusinessManCowboy,Cowboy Businessman
zombieBusinessManFrozen,Frozen Businessman
zombieBusinessManMutated,Mutated Businessman
zombieBusinessManRotten,Rotting Businessman
zombieBusinessManWeak,Weakened Businessman
zombieDarlene,Decayed Mother
zombieDarleneCowboy,Decayed Cowgirl
zombieDarleneFeral,Feral Mother
zombieDarleneFrozen,Frozen Mother
zombieDarleneMutated,Mutated Mother
zombieDarleneRotten,Rotting Mother
zombieDarleneRadiated,Radiated Mother
zombieDarleneWeak,Weakened Mother
zombieFatCopRotten,Rotting Cop
zombieFatCopWeak,Weakened Cop
zombieFatCop,Infected Cop
zombieFatCopFeral,Feral Cop
zombieFatCopMutated,Mutated Cop
zombieFatCopRadiated,Radiated Cop
zombieFatHawaiian,Disturbed Tourist
zombieFatHawaiianFrozen,Frozen Tourist
zombieFatHawaiianMutated,Mutated Tourist
zombieFatHawaiianRotten,Rotting Tourist
zombieFatHawaiianWeak,Weakened Tourist
zombieFemaleFat,Hungry Zombie
zombieFemaleFatCowboy,Hungry Cowgirl
zombieFemaleFatFeral,Feral Hungry Zombie
zombieFemaleFatFrozen,Frozen Hungry Zombie
zombieFemaleFatMutated,Mutated Hungry Zombie
zombieFemaleFatRotten,Rotting Hungry Zombie
zombieFemaleFatRadiated,Radiated Hungry Zombie
zombieFemaleFatWeak,Weakened Hungry Zombie
zombieInmateFrozen,Frozen Janitor
zombieInmateMutated,Mutated Janitor
zombieInmateRotten,Rotting Janitor
zombieInmateWeak,Weakened Janitor
zombieJanitorFrozen,Frozen Janitor
zombieJanitorMutated,Mutated Janitor
zombieJanitorRotten,Rotting Janitor
zombieJanitorWeak,Weakened Janitor
zombieJoeCowboy,Festering Cowboy
zombieJoe,Festering Cadaver
zombieJoeFrozen,Frozen Cadaver
zombieJoeMutated,Mutated Cadaver
zombieJoeRotten,Rotting Cadaver
zombieJoeRadiated,Radiated Cadaver
zombieJoeFeral,Feral Cadaver
zombieJoeWeak,Weakened Cadaver
zombieLabFrozen,Frozen Labworker
zombieLabMutated,Mutated Labworker
zombieLabRotten,Rotting Labworker
zombieLabWeak,Weakened Labworker
zombieLumberjackMutated,Mutated Lumberjack
zombieLumberjackRotten,Rotting Lumberjack
zombieLumberjackWeak,Weakened Lumberjack
zombieMaleFeralHazmatLootBag,Dropped Hazmat Loot
zombieMaleHazmatFrozen,Frozen Hazmat
zombieMaleHazmatLootBag,Dropped Hazmat Loot
zombieMaleHazmatMutated,Mutated Hazmat
zombieMaleHazmatRotten,Rotting Hazmat
zombieMaleHazmatWeak,Weakened Hazmat
zombieMaleMutatedHazmatLootBag,Dropped Hazmat Loot
zombieMarlene,Departed Woman
zombieMarleneCowboy,Departed Cowgirl
zombieMarleneFrozen,Frozen Departed Woman
zombieMarleneMutated,Mutated Departed Woman
zombieMarleneRotten,Rotting Departed Woman
zombieMarleneRadiated,Radiated Departed Woman
zombieMarleneFeral,Feral Departed Woman
zombieMarleneWeak,Weakened Departed Woman
zombieMoe,Bloated Walker
zombieMoeFrozen,Frozen Walker
zombieMoeCowboy,Cowboy Walker
zombieMoeMutated,Mutated Walker
zombieMoeRotten,Rotting  Walker
zombieMoeRadiated,Radiated Walker
zombieMoeFeral,Feral Walker
zombieMoeWeak,Weakened Walker
zombieMutatedDemolition,Nuclear Demolition
zombieMutatedMutated,Mutated Hulk
zombieNurseFrozen,Frozen Nurse
zombieNurseMutated,Mutated Nurse
zombieNurseRotten,Rotting Nurse
zombieNurseWeak,Weakened Nurse
zombiePartyGirlCowboy,Party Cowgirl
zombiePartyGirlFrozen,Frozen Party Girl
zombiePartyGirlMutated,Mutated Party Girl
zombiePartyGirlRotten,Rotting Party Girl
zombiePartyGirlWeak,Weakened Party Girl
zombieScreamerMutated,Mutated Screamer
zombieSkateboarderFrozen,Frozen Thug
zombieSkateboarderMutated,Mutated Thug
zombieSkateboarderRotten,Rotting Thug
zombieSkateboarderRadiated,Radiated Thug
zombieSkateboarderFeral,Feral Thug
zombieSkateboarder,Thug
zombieSkateboarderWeak,Weakened Thug
zombieSoldierFrozen,Frozen Soldier
zombieSoldierMutated,Mutated Soldier
zombieSoldierRotten,Rotting Soldier
zombieSoldierWeak,Weakened Soldier
zombieSpiderFrozen,Frozen Spider
zombieSpiderMutated,Mutated Spider
zombieSpiderRotten,Rotting Spider
zombieSpiderWeak,Weakened Spider
zombieSteve,Reanimated Corpse
zombieSteveCowboy,Reanimated Cowboy
zombieSteveFeral,Feral Reanimated Corpse
zombieSteveRadiated,Radiated Reanimated Corpse
zombieSteveWeak,Weakened Reanimated Corpse
zombieSteveCrawlerFrozen,Frozen Crawler
zombieSteveCrawlerMutated,Mutated Crawler
zombieSteveCrawlerRotten,Rotting Crawler
zombieSteveCrawlerRadiated,Radiated Crawler
zombieSteveCrawlerFeral,Feral Crawler
zombieSteveCrawler,Crawler
zombieSteveCrawlerWeak,Weakened Crawler
zombieSteveFrozen,Frozen Reanimated Corpse
zombieSteveMutated,Mutated Reanimated Corpse
zombieSteveRotten,Rotting Reanimated Corpse
zombieTomClarkCowboy,Cowboy Tom Clark
zombieTomClarkFrozen,Frozen Tom Clark
zombieTomClarkMutated,Mutated Tom Clark
zombieTomClarkRotten,Rotting Tom Clark
zombieTomClarkWeak,Weakened Tom Clark
zombieUtilityWorkerFrozen,Frozen Utility Worker
zombieUtilityWorkerMutated,Mutated Utility Worker
zombieUtilityWorkerRotten,Rotting Utility Worker
zombieUtilityWorkerWeak,Weakened Utility Worker
zombieWightMutated,Mutated Wight
zombieWightFeralCowboy,Cowboy Wight
zombieYo,Walking Carcass
zombieYoCowboy,Cowboy Carcass
zombieYoFeral,Feral Carcass
zombieYoRadiated,Radiated Carcass
zombieYoFrozen,Frozen Carcass
zombieYoMutated,Mutated Carcass
zombieYoRotten,Rotting Carcass
zombieYoWeak,Weakened Carcass
zombieBunkerBuster,Bunker Buster
npcTraderRed,Trader Red
npcTraderHells,Trader Hells
npcTraderBooks,Trader Nancy
zombieHellsHungryMutant,Hungry Mutant
zombieHellsHumanExperiment,Human Experiment
zombieHellsParasite,Parasitic Mutant
zombieHellsGiantMutant,Giant Mutant
zombieHellsBuffedMutant,Buffed Mutant
zombieHellsBlindMutant,Blind Hunter
zombieHellsHeavyDemon,Nyaphim
zombieHellsMutant4,Mutant Neomorph
zombieHellsDoomDemon,Nyaphim Exo
zombieHellsMutant1,Mutant Amorph
zombieHellsMutantTentacles,Mutant Hypermorph
zombieHellsMutantHeadHunter,Mutant Hypomorph
zombieHellsMutantBoomer,Mutated Boomer
zombieHellsMutantReaper,Mutant Reaper
zombieHellsWendigo1,Lupine Mutant
zombieHellsWendigo2,Canine Mutant
zombieGirl1,Polly
zombieGirl2,Holly
zombieGirl3,Molly
zombieGuy1,Barry
zombieGuy2,Harry
zombieGuy3,Larry
animalMutantBug,Mutant Bug
animalCockroach,Mutated Cockroach
animalWildChicken,Chicken
trader_red,Trader Red
trader_hells,Trader Hells
trader_books,Trader Nancy
